2,208 W. 1st Avenue,"",Vancouver ,Canada,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=Maximizer%20Software%20Inc&storeId=11154&catalogId=71154&productId=0&address=1090%20Pender%20St%20W%20Suite%2010&city=Vancouver&state=BC&zip=V6E%202N7&country=CA,"Maximizer Software is a pioneer in contact management technology.

For more than 25 years we've been developing CRM software to help businesses better manage their customers, leads, and prospects. Our claim to fame is in our all-in-one CRM software which is built with 
the flexibility to be customized to unique business processes.","","",,true,1-604-601-8001,"",http://www.hoovers.com/company-information/cs/company-profile.Maximizer_Software_Inc.6e93da191acb4812.html,https://www.linkedin.com/company/maximizer-software-inc,Unknown,"",Maximizer Software Inc. ,https://d3uimxdj41cg3o.cloudfront.net/companies/c81e728d9d4c2f636f067f89cc14862c-254f71b589dad75f53ed5d9de97b7d11/resources/logo_normal.jpeg?1438766239,"","",Privately Owned,1-604-601-8000,,14,,maximizer-software-inc,"",,Full tax,https://twitter.com/maximizercrm,Unknown,http://www.maximizer.com/,http://en.wikipedia.org/wiki/Maximizer_Software,No,,,BC V5Y 3T2
3,3000 Hanover Street,"",Palo Alto,USA,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=HEWLETT-PACKARD%20COMPANY&storeId=11154&catalogId=71154&productId=0&address=3000%20HANOVER%20ST&city=PALO%20ALTO&state=CA&zip=943041112&country=US,"Bill Hewlett and Dave Packard became friends at Stanford University before forming a two-person company in a rented garage—the original Silicon Valley startup. Working with limited resources, the pair created a series of products—starting with audio oscillators used by sound engineers—sometimes using the Packard family oven to put on finishing touches. Their efforts impressed Walt Disney Studios, one of HP’s early customers, and set the course for a legacy of innovation and leadership.

From its origins in a Palo Alto garage to its current position as one of the world’s leading technology companies, HP has grown and evolved significantly since its founding in 1939.","","",,true,"","",http://www.hoovers.com/company-information/cs/company-profile.HEWLETT-PACKARD_COMPANY.ce061ed249e20ed3.html,http://www.linkedin.com/company/hewlett-packard,Unknown,"","Hewlett-Packard Development Company, L.P.",https://d3uimxdj41cg3o.cloudfront.net/companies/eccbc87e4b5ce2fe28308fd9f2a7baf3-d6b88591d686f8fe60798186fffb19d3/resources/logo_normal.jpeg?1438766239,"","",Publicly Listed,(650) 857-1501,,26,,hewlett-packard,CA,,Full tax,@hpnews,Unknown,http://www.hp.com,http://en.wikipedia.org/wiki/Hewlett-Packard,No,1939,,94304-1185
4,4780 Pearl East Circle,"",Boulder,USA,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=LOGRHYTHM%2C%20INC.&storeId=11154&catalogId=71154&productId=0&address=4780%20PEARL%20EAST%20CIR&city=BOULDER&state=CO&zip=803012472&country=US,"The Security Intelligence Company

LogRhythm, a leader in security intelligence and analytics, empowers organizations around the globe to rapidly detect, respond to and neutralize damaging cyber threats. The company’s award-winning platform unifies next-generation SIEM, log management, network and endpoint forensics, and advanced security analytics. In addition to protecting customers from the risks associated with cyber threats, LogRhythm provides innovative compliance automation and assurance, and enhanced IT intelligence.

LogRhythm is consistently recognized as a market leader. The company has been positioned as a Leader in Gartner’s SIEM Magic Quadrant report for three consecutive years, named a “Champion” in Info-Tech Research Group’s 2014-15 SIEM Vendor Landscape report and ranked Best-in-Class (No. 1) in DCIG’s 2014-15 SIEM Appliance Buyer’s Guide. In addition, LogRhythm has received Frost & Sullivan’s SIEM Global Market Penetration Leadership Award and been named a Top Workplace by the Denver Post. LogRhythm is headquartered in Boulder, Colorado, with operations throughout North and South America, Europe and the Asia Pacific region.","","",,false,"","",http://www.hoovers.com/company-information/cs/company-profile.Logrhythm_Inc.72c3b68cd3c11559.html,http://www.linkedin.com/company/logrhythm,Unknown,"","LogRhythm, Inc.",https://d3uimxdj41cg3o.cloudfront.net/companies/a87ff679a2f3e71d9181a67b7542122c-a6271bff1e8f0aff27a04f6b5cdf9ec1/resources/logo_normal.jpeg?1438766240,"","",Privately Owned,(303) 413-8745,,0,,logrhythm-inc,CO,,Full tax,https://twitter.com/LogRhythm,Unknown,http://www.logrhythm.com/,https://en.wikipedia.org/wiki/LogRhythm,No,,,80301
5,926 NW 13th Ave #210,"",Portland,USA,,"Puppet Labs’ IT automation software enables system administrators to deliver the operational agility and efficiency of cloud computing at enterprise-class service levels, scaling from handfuls of nodes on-premise to tens of thousands in the cloud.","","",,false,"",,,"",Unknown,,Puppet Labs,https://d3uimxdj41cg3o.cloudfront.net/companies/e4da3b7fbbce2345d7772b0674a318d5-aec5c9eed4c10bef4e13c8ff9542ea9e/resources/logo_normal.jpeg?1438766240,,"",Privately Owned,877-575-9775,,0,,puppet-labs,OR,,Full tax,"",Unknown,http://puppetlabs.com/,"",No,,,97209
6,500 Oracle Parkway,"",Redwood Shores,USA,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=ORACLE%20CORPORATION&storeId=11154&catalogId=71154&productId=0&address=500%20ORACLE%20PKWY&city=REDWOOD%20CITY&state=CA&zip=940651677&country=US,"Oracle Corporation supplies software for enterprise information management. The Company offers databases and relational servers, application development and decision support tools, and enterprise business applications. Oracle's software runs on network computers, personal digital assistants, set-top devices, PCs, workstations, minicomputers, mainframes, and massively parallel computers.","","",,true,"","",http://www.hoovers.com/company-information/cs/company-profile.ORACLE_CORPORATION.18ae6bff62312cab.html,https://www.linkedin.com/groups?goback=.gdr_1281645061278_1&gid=100172&trk=anetsrch_name,Unknown,"",Oracle,https://d3uimxdj41cg3o.cloudfront.net/companies/1679091c5a880faf6fb5e6087eb1b2dc-336f5ed41c1c30024332edc3ff08b45a/resources/logo_normal.jpeg?1438766241,"","",Publicly Listed,1-650-506-7000,,224,,oracle,CA,,Full tax,@Oracle,Unknown,https://www.oracle.com/index.html,http://en.wikipedia.org/wiki/Oracle_Corporation,No,1977,,94065
7,"15010 NE 36th Street, Microsoft Campus, Building 92","",Redmond,USA,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=MICROSOFT%20CORPORATION&storeId=11154&catalogId=71154&productId=0&address=1%20MICROSOFT%20WAY&city=REDMOND&state=WA&zip=980528300&country=US,"Microsoft Corporation, a technology company, develops, licenses, and supports software products, services, and devices worldwide. The company’s Productivity and Business Processes segment offers Office 365 commercial products and services for businesses, including Office, Exchange, SharePoint, and Skype, as well as related Client Access Licenses (CALs); Office 365 consumer services, such as Skype, Outlook.com, and OneDrive; and Dynamics business solutions, including financial management, customer relationship management, supply chain management, and analytics applications for small and mid-size businesses, large organizations, and divisions of various enterprises.","","",,true,"","",http://www.hoovers.com/company-information/cs/company-profile.MICROSOFT_CORPORATION.c86cc6059119a54b.html,https://www.linkedin.com/company/microsoft,Unknown,"",Microsoft,https://d3uimxdj41cg3o.cloudfront.net/companies/8f14e45fceea167a5a36dedd4bea2543-86acdbea6d2f0473acc784c1dcf6990d/resources/logo_normal.jpeg?1438766241,"","",Publicly Listed,(425) 703-6214,,594,,microsoft,WA ,,Full tax,@Microsoft,Unknown,http://www.microsoft.com/en-us/default.aspx,http://en.wikipedia.org/wiki/Microsoft,No,1975,,98052
8,2101 CityWest Boulevard,"",Houston,USA,,"BMC helps leading companies around the world put technology at the forefront of meaningful business change, improving the delivery and consumption of digital services. From mainframe to cloud to mobile, BMC delivers innovative IT management solutions that have enabled more than 20,000 customers to leverage complex technology into extraordinary business performance—increasing their agility and exceeding their expectations.","","",6000,true, ++1 (713) 918-8800 ,,,http://www.linkedin.com/company/bmc-software,Unknown,,"BMC Software, Inc.",https://d3uimxdj41cg3o.cloudfront.net/companies/c9f0f895fb98ab9159f51fd0297e236d-e358e185a1399597f3a0cc7a6b46c1b3/resources/logo_normal.jpeg?1438766241,,"",Publicly Listed, ++1 (800) 793-4262,,99,,bmc-software,TX,,Full tax,@BMCSoftware,Unknown,http://www.bmc.com/,http://en.wikipedia.org/wiki/BMC_Software,No,1980,,77042
9, 250 Brannan Street ,"",San Francisco,USA,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=SPLUNK%20INC.&storeId=11154&catalogId=71154&productId=0&address=250%20BRANNAN%20ST&city=SAN%20FRANCISCO&state=CA&zip=941072007&country=US,"Splunk was founded to pursue a disruptive new vision: make machine data accessible, usable and valuable to everyone. Machine data is one of the fastest growing and most pervasive segments of ""big data""—generated by websites, applications, servers, networks, mobile devices and all the sensors and RFID assets that produce data every second of every day. By monitoring and analyzing everything from customer clickstreams and transactions to network activity and call records—and more—Splunk turns machine data into valuable insights no matter what business you're in. It's what we call Operational Intelligence.","","",,true,+1 415.568.4259,"",http://www.hoovers.com/company-information/cs/company-profile.Splunk_Inc.df708d6e53347053.html,http://www.linkedin.com/company/splunk,Unknown,"",Splunk,https://d3uimxdj41cg3o.cloudfront.net/companies/45c48cce2e2d7fbdea1afc51c7c6ad26-7ed7aa7085135b6978a4e3f0a9aac0d5/resources/logo_normal.jpeg?1438766242,"","",Privately Owned,+1 415.848.8400,,0,,splunk,CA,,Full tax,@splunk,Unknown,http://www.splunk.com/,http://en.wikipedia.org/wiki/Splunk,No,2006,,94107
10,"7171 Southwest Parkway, Building 400","",Austin,USA,https://creditreports.dnb.com/webapp/wcs/stores/servlet/ReportSelectionCmd?dunsNumber=0&busName=SOLARWINDS%2C%20INC.&storeId=11154&catalogId=71154&productId=0&address=7171%20SOUTHWEST%20PKWY%20STE%20400&city=AUSTIN&state=TX&zip=787356140&country=US,"Since our founding in 1999, SolarWinds’ (NYSE: SWI) mission has been to provide purpose-built products that are designed to make IT professionals’ jobs easier. We offer value-driven products and tools that solve a broad range of IT management challenges – whether those challenges are related to networks, servers, applications, storage or virtualization.

","","",,true,"","",http://www.hoovers.com/company-information/cs/company-profile.SOLARWINDS_INC.8ff4b184c1d9603e.html,http://www.linkedin.com/company/solarwinds,Unknown,"",SolarWinds,https://d3uimxdj41cg3o.cloudfront.net/companies/d3d9446802a44259755d38e6d163e820-3b9bc56d7a5c69e0f3d3d00e5ba922e8/resources/logo_normal.png?1438766242,"","",Publicly Listed,512.682.9300,,118,,solarwinds,TX,,Full tax,https://twitter.com/solarwinds,Unknown,http://www.solarwinds.com/,https://en.wikipedia.org/wiki/SolarWinds,No,1999,,78735
11,"","","","",,"New Relic is the all-in-one web application performance management (APM) tool that lets you see performance from the end user experience, through servers, and down to the line of application code.","","",,false,"",,,"",Unknown,,"New Relic, Inc.",https://d3uimxdj41cg3o.cloudfront.net/companies/6512bd43d9caa6e02c990b0a82652dca-8b9b641eb3f7028744c21131ea31acca/resources/logo_normal.jpeg?1438766243,,"",Privately Owned,"",,0,,new-relic-inc,"",,Full tax,"",Unknown,"","",No,,,""
